Date,BTC,ETH,BNB,XRP,ADA,CRIX
2020-05-30,9700.414063,242.345596,17.743418,0.20622,0.076958,708.385
2020-05-31,9461.058594,230.975708,17.040472,0.202906,0.074352,713.4024999999999
2020-06-01,10167.268555,246.99176,17.914942,0.210249,0.081168,718.42
2020-06-02,9529.803711,237.219055,17.239304,0.202764,0.078456,712.51
2020-06-03,9656.717773,244.179321,17.545404,0.203663,0.085439,719.71
2020-06-04,9800.636719,244.426392,17.565874,0.204982,0.089,734.04
2020-06-05,9665.533203,241.221985,17.688786,0.204092,0.085442,729.73
2020-06-06,9653.679688,241.93132,17.535934,0.203142,0.086026,728.13
2020-06-07,9758.852539,245.167252,17.447035,0.203449,0.086654,727.3299999999999
2020-06-08,9771.489258,246.309906,17.39303,0.203771,0.08643,726.53
2020-06-09,9795.700195,244.911453,17.435377,0.202013,0.083407,728.82
2020-06-10,9870.094727,247.444946,17.410467,0.202938,0.083531,739.85
2020-06-11,9321.78125,231.702667,16.308926,0.19018,0.07536,691.84
2020-06-12,9480.84375,237.49321,16.66914,0.193943,0.079554,705.3
2020-06-13,9475.277344,238.908844,16.823734,0.193106,0.079028,703.77
2020-06-14,9386.788086,234.1147,16.656242,0.191617,0.076748,703.005
2020-06-15,9450.702148,229.928909,16.384802,0.193074,0.078387,702.24
2020-06-16,9538.024414,234.416168,16.421957,0.191307,0.079073,706.56
2020-06-17,9480.254883,233.028275,16.402542,0.193443,0.083445,694.88
2020-06-18,9411.84082,232.101166,16.20859,0.190957,0.082174,698.32
2020-06-19,9288.018555,227.13829,15.907086,0.18679,0.079603,691.5
2020-06-20,9332.34082,229.274261,16.04756,0.1885,0.079339,703.26
2020-06-21,9303.629883,228.989822,16.001226,0.18561,0.078475,709.14
2020-06-22,9648.717773,242.533188,16.475288,0.189272,0.08361,715.02
2020-06-23,9629.658203,244.142151,16.422567,0.18868,0.08295,719.57
2020-06-24,9313.610352,235.772461,16.026758,0.184272,0.082583,693.39
2020-06-25,9264.813477,232.944489,15.922709,0.18357,0.081691,692.87
2020-06-26,9162.917969,229.668045,15.749224,0.182671,0.080561,684.73
2020-06-27,9045.390625,222.959793,15.185254,0.176851,0.077679,682.54
2020-06-28,9143.582031,225.347168,15.420089,0.177692,0.080392,681.4449999999999
2020-06-29,9190.854492,228.19487,15.505232,0.177959,0.08387,680.35
2020-06-30,9137.993164,226.315002,15.413582,0.17587,0.083116,677.69
2020-07-01,9228.325195,231.113419,15.82946,0.176976,0.095954,687.25
2020-07-02,9123.410156,229.392197,15.53849,0.177244,0.094326,671.6
2020-07-03,9087.303711,225.38707,15.291962,0.176336,0.096538,675.13
2020-07-04,9132.488281,229.074112,15.552981,0.177984,0.099952,685.7049999999999
2020-07-05,9073.942383,227.664597,15.480226,0.177017,0.098211,690.9925
2020-07-06,9375.474609,241.510223,16.29677,0.188567,0.105221,696.28
2020-07-07,9252.277344,239.075531,16.770226,0.184787,0.117554,692.02
2020-07-08,9428.333008,246.670013,17.227657,0.204692,0.129908,711.59
2020-07-09,9277.967773,243.015961,16.884869,0.20291,0.124293,693.09
2020-07-10,9278.807617,240.984985,17.261251,0.198652,0.118316,694.34
2020-07-11,9240.34668,239.458176,17.622179,0.201197,0.125214,693.0350000000001
2020-07-12,9276.5,242.131699,18.236546,0.200538,0.126783,692.3825
2020-07-13,9243.614258,239.604584,18.409563,0.198575,0.124156,691.73
2020-07-14,9243.213867,240.211487,18.082909,0.198809,0.131963,696.83
2020-07-15,9192.836914,238.423523,17.591215,0.197111,0.130369,688.51
2020-07-16,9132.227539,233.640884,17.143843,0.194048,0.125922,682.68
2020-07-17,9151.392578,232.773087,17.084974,0.194281,0.122486,685.57
2020-07-18,9159.040039,235.48381,17.126711,0.199341,0.122477,685.59
2020-07-19,9185.817383,238.487518,17.955778,0.199135,0.123712,685.6
2020-07-20,9164.231445,236.153168,17.484709,0.195065,0.117924,685.61
2020-07-21,9374.887695,245.016724,17.715408,0.198988,0.122965,703.61
2020-07-22,9525.363281,262.190643,18.091908,0.203342,0.123922,705.04
2020-07-23,9581.072266,274.689056,18.673296,0.207578,0.123773,729.74
2020-07-24,9536.892578,279.215424,19.152901,0.204049,0.121888,733.07
2020-07-25,9677.113281,304.056763,19.776423,0.214102,0.143578,779.675
2020-07-26,9905.166992,309.643616,19.521025,0.214982,0.148108,802.9775
2020-07-27,10990.873047,321.514099,19.620329,0.223672,0.138771,826.28
2020-07-28,10912.823242,316.657257,20.173548,0.230277,0.148598,840.48
2020-07-29,11100.467773,318.190887,19.89559,0.243099,0.139879,855.23
2020-07-30,11111.213867,334.586639,20.012735,0.244522,0.140588,854.4
2020-07-31,11323.466797,345.554657,20.668146,0.258904,0.138798,873.53
2020-08-01,11759.592773,385.199707,21.530432,0.289529,0.143573,887.825
2020-08-02,11053.614258,370.671722,20.944887,0.287062,0.133505,887.825
2020-08-03,11246.348633,386.295166,22.055012,0.30994,0.137335,902.12
2020-08-04,11205.892578,389.875488,22.282585,0.300493,0.143018,886.23
2020-08-05,11747.022461,401.590576,23.336218,0.303311,0.142695,916.34
